ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition
T2015XA,"Burn of first degree of scalp [any part], initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2015XD,"Burn of first degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2016XA,"Burn of first degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2016XD,"Burn of first degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2017XA,"Burn of first degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2017XD,"Burn of first degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2019XA,"Burn of first deg mult sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2019XD,"Burn of first deg mult sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2020XA,"Burn second degree of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2020XD,"Burn second degree of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20211A,"Burn of second degree of right ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20211D,"Burn of second degree of right ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20212A,"Burn of second degree of left ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20212D,"Burn of second degree of left ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20219A,"Burn of second degree of unspecified ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20219D,"Burn of second degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2022XA,"Burn of second degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2022XD,"Burn of second degree of lip(s), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2023XA,"Burn of second degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2023XD,"Burn of second degree of chin, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2024XA,"Burn of second degree of nose (septum), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2024XD,"Burn of second degree of nose (septum), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2025XA,"Burn of second degree of scalp [any part], initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2025XD,"Burn of second degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2026XA,"Burn of second degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2026XD,"Burn of second degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2027XA,"Burn of second degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2027XD,"Burn of second degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2029XA,"Burn of 2nd deg mul sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2029XD,"Burn of 2nd deg mul sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2030XA,"Burn third degree of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2030XD,"Burn third degree of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20311A,"Burn of third degree of right ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20311D,"Burn of third degree of right ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20312A,"Burn of third degree of left ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20312D,"Burn of third degree of left ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20319A,"Burn of third degree of unspecified ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20319D,"Burn of third degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2032XA,"Burn of third degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2032XD,"Burn of third degree of lip(s), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2033XA,"Burn of third degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2033XD,"Burn of third degree of chin, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2034XA,"Burn of third degree of nose (septum), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2034XD,"Burn of third degree of nose (septum), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2035XA,"Burn of third degree of scalp [any part], initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2035XD,"Burn of third degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2036XA,"Burn of third degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2036XD,"Burn of third degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2037XA,"Burn of third degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2037XD,"Burn of third degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2039XA,"Burn of 3rd deg mu sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2039XD,"Burn of 3rd deg mu sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2040XA,"Corros unsp degree of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2040XD,"Corros unsp degree of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20411A,"Corrosion of unspecified degree of right ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20411D,"Corrosion of unspecified degree of right ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20412A,"Corrosion of unspecified degree of left ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20412D,"Corrosion of unspecified degree of left ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20419A,"Corrosion of unsp degree of unspecified ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20419D,"Corrosion of unsp degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2042XA,"Corrosion of unspecified degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2042XD,"Corrosion of unspecified degree of lip(s), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2043XA,"Corrosion of unspecified degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2043XD,"Corrosion of unspecified degree of chin, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2044XA,"Corrosion of unsp degree of nose (septum), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2044XD,"Corrosion of unsp degree of nose (septum), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2045XA,"Corrosion of unspecified degree of scalp, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2045XD,"Corrosion of unspecified degree of scalp, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2046XA,"Corrosion of unsp degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2046XD,"Corrosion of unsp degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2047XA,"Corrosion of unspecified degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2047XD,"Corrosion of unspecified degree of neck, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2049XA,"Corros unsp deg mult sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2049XD,"Corros unsp deg mult sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2050XA,"Corros first degree of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2050XD,"Corros first degree of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20511A,"Corrosion of first degree of right ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20511D,"Corrosion of first degree of right ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20512A,"Corrosion of first degree of left ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20512D,"Corrosion of first degree of left ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20519A,"Corrosion of first degree of unspecified ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20519D,"Corrosion of first degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2052XA,"Corrosion of first degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2052XD,"Corrosion of first degree of lip(s), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2053XA,"Corrosion of first degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2053XD,"Corrosion of first degree of chin, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2054XA,"Corrosion of first degree of nose (septum), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2054XD,"Corrosion of first degree of nose (septum), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2055XA,"Corrosion of first degree of scalp, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2055XD,"Corrosion of first degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2056XA,"Corrosion of first degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2056XD,"Corrosion of first degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2057XA,"Corrosion of first degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2057XD,"Corrosion of first degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2059XA,"Corros first deg mult sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2059XD,"Corros first deg mult sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2060XA,"Corros second deg of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2060XD,"Corros second deg of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20611A,"Corrosion of second degree of right ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20611D,"Corrosion of second degree of right ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20612A,"Corrosion of second degree of left ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20612D,"Corrosion of second degree of left ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20619A,"Corrosion of second degree of unspecified ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20619D,"Corrosion of second degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2062XA,"Corrosion of second degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2062XD,"Corrosion of second degree of lip(s), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2063XA,"Corrosion of second degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2063XD,"Corrosion of second degree of chin, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2064XA,"Corrosion of second degree of nose (septum), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2064XD,"Corrosion of second degree of nose (septum), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2065XA,"Corrosion of second degree of scalp, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2065XD,"Corrosion of second degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2066XA,"Corrosion of second degree of forehead and cheek, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2066XD,"Corrosion of second degree of forehead and cheek, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2067XA,"Corrosion of second degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2067XD,"Corrosion of second degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2069XA,"Corrosion of 2nd deg mul sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2069XD,"Corrosion of 2nd deg mul sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2070XA,"Corros third degree of head, face, and neck, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2070XD,"Corros third degree of head, face, and neck, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20711A,"Corrosion of third degree of right ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20711D,"Corrosion of third degree of right ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20712A,"Corrosion of third degree of left ear, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20712D,"Corrosion of third degree of left ear, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T20719A,"Corrosion of third degree of unspecified ear, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T20719D,"Corrosion of third degree of unspecified ear, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2072XA,"Corrosion of third degree of lip(s), initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2072XD,"Corrosion of third degree of lip(s), subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2073XA,"Corrosion of third degree of chin, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2073XD,"Corrosion of third degree of chin, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2074XA,"Corrosion of third degree of nose (septum), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2074XD,"Corrosion of third degree of nose (septum), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2075XA,"Corrosion of third degree of scalp, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2075XD,"Corrosion of third degree of scalp, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2076XA,"Corrosion of third degree of forehead and cheek, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2076XD,"Corrosion of third degree of forehead and cheek, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2077XA,"Corrosion of third degree of neck, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2077XD,"Corrosion of third degree of neck, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2079XA,"Corrosion of 3rd deg mu sites of head, face, and neck, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2079XD,"Corrosion of 3rd deg mu sites of head, face, and neck, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2100XA,"Burn of unsp degree of trunk, unspecified site, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2100XD,"Burn of unsp degree of trunk, unspecified site, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2101XA,"Burn of unspecified degree of chest wall, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2101XD,"Burn of unspecified degree of chest wall, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2102XA,"Burn of unspecified degree of abdominal wall, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2102XD,"Burn of unspecified degree of abdominal wall, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2103XA,"Burn of unspecified degree of upper back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2103XD,"Burn of unspecified degree of upper back, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2104XA,"Burn of unspecified degree of lower back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2104XD,"Burn of unspecified degree of lower back, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2105XA,"Burn of unspecified degree of buttock, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2105XD,"Burn of unspecified degree of buttock, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2106XA,"Burn of unsp degree of male genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2106XD,"Burn of unsp degree of male genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2107XA,"Burn of unsp degree of female genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2107XD,"Burn of unsp degree of female genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2109XA,"Burn of unsp degree of other site of trunk, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2109XD,"Burn of unsp degree of other site of trunk, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2110XA,"Burn of first degree of trunk, unspecified site, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2110XD,"Burn of first degree of trunk, unspecified site, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2111XA,"Burn of first degree of chest wall, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2111XD,"Burn of first degree of chest wall, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2112XA,"Burn of first degree of abdominal wall, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2112XD,"Burn of first degree of abdominal wall, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2113XA,"Burn of first degree of upper back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2113XD,"Burn of first degree of upper back, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2114XA,"Burn of first degree of lower back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2114XD,"Burn of first degree of lower back, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2115XA,"Burn of first degree of buttock, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2115XD,"Burn of first degree of buttock, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2116XA,"Burn of first degree of male genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2116XD,"Burn of first degree of male genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2117XA,"Burn of first degree of female genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2117XD,"Burn of first degree of female genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2119XA,"Burn of first degree of other site of trunk, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2119XD,"Burn of first degree of other site of trunk, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2120XA,"Burn of second degree of trunk, unsp site, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2120XD,"Burn of second degree of trunk, unsp site, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2121XA,"Burn of second degree of chest wall, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2121XD,"Burn of second degree of chest wall, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2122XA,"Burn of second degree of abdominal wall, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2122XD,"Burn of second degree of abdominal wall, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2123XA,"Burn of second degree of upper back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2123XD,"Burn of second degree of upper back, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2124XA,"Burn of second degree of lower back, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2124XD,"Burn of second degree of lower back, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2125XA,"Burn of second degree of buttock, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2125XD,"Burn of second degree of buttock, subsequent encounter",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2126XA,"Burn of second degree of male genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2126XD,"Burn of second degree of male genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2127XA,"Burn of second degree of female genital region, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2127XD,"Burn of second degree of female genital region, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2129XA,"Burn of second degree of other site of trunk, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T2129XD,"Burn of second degree of other site of trunk, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T2130XA,"Burn of third degree of trunk, unspecified site, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
