ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition,Unnamed: 7
I70568,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70569,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70661,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70662,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70663,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70668,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70669,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70761,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70762,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70763,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70768,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70769,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I7301,Raynauds syndrome with gangrene,CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I731,Thromboangiitis obliterans [Buergers disease],CIR026,Peripheral and visceral vascular disease,Y,0 Not Applicable,gangrene,NULL
K31811,Angiodysplasia of stomach and duodenum with bleeding,CIR026,Peripheral and visceral vascular disease,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K31819,Angiodysplasia of stomach and duodenum without bleeding,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K550,Acute vascular disorders of intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55011,Focal (segmental) acute (reversible) ischemia of small intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55012,Diffuse acute (reversible) ischemia of small intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55019,"Acute (reversible) ischemia of small intestine, extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55021,Focal (segmental) acute infarction of small intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55022,Diffuse acute infarction of small intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55029,"Acute infarction of small intestine, extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55031,Focal (segmental) acute (reversible) ischemia of large intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55032,Diffuse acute (reversible) ischemia of large intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55039,"Acute (reversible) ischemia of large intestine, extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55041,Focal (segmental) acute infarction of large intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55042,Diffuse acute infarction of large intestine,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55049,"Acute infarction of large intestine, extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55051,"Focal (segmental) acute (reversible) ischemia of intestine, part unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55052,"Diffuse acute (reversible) ischemia of intestine, part unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55059,"Acute (reversible) ischemia of intestine, part and extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55061,"Focal (segmental) acute infarction of intestine, part unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55062,"Diffuse acute infarction of intestine, part unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K55069,"Acute infarction of intestine, part and extent unspecified",CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K5520,Angiodysplasia of colon without hemorrhage,CIR026,Peripheral and visceral vascular disease,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K5521,Angiodysplasia of colon with hemorrhage,CIR026,Peripheral and visceral vascular disease,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
I970,Postcardiotomy syndrome,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97110,Postproc cardiac insufficiency following cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97111,Postprocedural cardiac insufficiency following other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97120,Postprocedural cardiac arrest following cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97121,Postprocedural cardiac arrest following other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97130,Postprocedural heart failure following cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97131,Postprocedural heart failure following other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97190,Oth postproc cardiac functn disturb fol cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97191,Oth postproc cardiac functn disturb following oth surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I972,Postmastectomy lymphedema syndrome,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I973,Postprocedural hypertension,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97410,Intraoperative hemor/hemtom of a circ sys org comp card cath,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97411,Intraop hemor/hemtom of a circ sys org comp card bypass,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97418,Intraop hemor/hemtom of circ sys org comp oth circ sys proc,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I9742,Intraop hemor/hemtom of a circ sys org comp oth procedure,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I9751,Acc pnctr & lac of a circ sys org during a circ sys proc,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I9752,Acc pnctr & lac of a circ sys org during oth procedure,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97610,Postproc hemor of a circ sys org following a cardiac cath,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97611,Postproc hemor of a circ sys org following cardiac bypass,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97618,Postproc hemor of a circ sys org fol other circ sys proc,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I9762,Postprocedural hemorrhage and hematoma of a circulatory syst,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97620,Postproc hemor of a circ sys org following other procedure,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97621,Postproc hematoma of a circ sys org fol other procedure,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97622,Postproc seroma of a circ sys org following other procedure,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97630,Postproc hematoma of a circ sys org following a cardiac cath,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97631,Postproc hematoma of a circ sys org following cardiac bypass,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97638,Postproc hematoma of a circ sys org fol other circ sys proc,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97640,Postproc seroma of a circ sys org following a cardiac cath,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97641,Postproc seroma of a circ sys org following cardiac bypass,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97648,Postproc seroma of a circ sys org fol other circ sys proc,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97710,Intraoperative cardiac arrest during cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97711,Intraoperative cardiac arrest during other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97790,Oth intraop cardiac functn disturb during cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97791,Oth intraop cardiac functional disturb during oth surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I97810,Intraoperative cerebrovascular infarction during cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97811,Intraoperative cerebrovascular infarction during other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97820,Postprocedural cerebrovascular infarction following cardiac surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I97821,Postprocedural cerebrovascular infarction following other surgery,CIR038,Postprocedural or postoperative circulatory system complication,Y,01 Postprocedural or postoperative complications,Postprocedural hemorrhage or severe complication,NULL
I9788,"Oth intraoperative complications of the circ sys, NEC",CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
I9789,"Oth postproc comp and disorders of the circ sys, NEC",CIR038,Postprocedural or postoperative circulatory system complication,Y,0 Not Applicable,Postprocedural hemorrhage or severe complication,NULL
D62,Acute posthemorrhagic anemia,BLD004,Acute posthemorrhagic anemia,Y,0 Not Applicable,Acute posthemorrhagic anemia,NULL
D65,Disseminated intravascular coagulation,BLD006,Coagulation and hemorrhagic disorders,Y,0 Not Applicable,Acute posthemorrhagic anemia,NULL
D699,"Hemorrhagic condition, unspecified",BLD006,Coagulation and hemorrhagic disorders,Y,0 Not Applicable,Acute posthemorrhagic anemia,NULL
D733,Abscess of spleen,BLD010,Other specified and unspecified hematologic conditions,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D735,Infarction of spleen,BLD010,Other specified and unspecified hematologic conditions,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7801,Intraop hemor/hemtom of the spleen comp a proc on the spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7802,Intraop hemor/hemtom of the spleen comp oth procedure,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7811,Accidental pnctr & lac of the spleen dur proc on the spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7812,Accidental pnctr & lac of the spleen during oth procedure,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7821,Postprocedural hemorrhage of the spleen fol proc on spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7822,Postproc hemorrhage of the spleen following other procedure,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7831,Postprocedural hematoma of the spleen fol proc on spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7832,Postproc hematoma of the spleen following other procedure,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7833,Postprocedural seroma of the spleen fol proc on spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7834,Postproc seroma of the spleen following other procedure,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7881,Other intraoperative complications of the spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D7889,Other postprocedural complications of the spleen,BLD009,Postprocedural or postoperative complications of the spleen,Y,0 Not Applicable,Splenic hemorrhage of abscess,NULL
D5700,"Hb-SS disease with crisis, unspecified",BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D5701,Hb-SS disease with acute chest syndrome,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D5702,Hb-SS disease with splenic sequestration,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57211,Sickle-cell/Hb-C disease with acute chest syndrome,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57212,Sickle-cell/Hb-C disease with splenic sequestration,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57219,"Sickle-cell/Hb-C disease with crisis, unspecified",BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57411,Sickle-cell thalassemia with acute chest syndrome,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57412,Sickle-cell thalassemia with splenic sequestration,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57419,"Sickle-cell thalassemia with crisis, unspecified",BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57811,Other sickle-cell disorders with acute chest syndrome,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57812,Other sickle-cell disorders with splenic sequestration,BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
D57819,"Other sickle-cell disorders with crisis, unspecified",BLD005,Sickle cell trait/anemia,Y,0 Not Applicable,Sickel cell crisis,NULL
K222,Esophageal obstruction,DIG004,Esophageal disorders,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K223,Perforation of esophagus,DIG004,Esophageal disorders,N,12 More than one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K223,Perforation of esophagus,DIG006,Gastrointestinal and biliary perforation,Y,12 More than one CCSR category matches the ICD-10-CM codebook chapter,Intestinal ischemia or hemorrhage,NULL
K226,Gastro-esophageal laceration-hemorrhage syndrome,DIG004,Esophageal disorders,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K250,Acute gastric ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K251,Acute gastric ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K251,Acute gastric ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K252,Acute gastric ulcer with both hemorrhage and perforation,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K254,Chronic or unspecified gastric ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K255,Chronic or unspecified gastric ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K255,Chronic or unspecified gastric ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K256,Chronic or unsp gastric ulcer w both hemorrhage and perf,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K260,Acute duodenal ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K261,Acute duodenal ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K261,Acute duodenal ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K262,Acute duodenal ulcer with both hemorrhage and perforation,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K264,Chronic or unspecified duodenal ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K265,Chronic or unspecified duodenal ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K265,Chronic or unspecified duodenal ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K266,Chronic or unsp duodenal ulcer w both hemorrhage and perf,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K270,"Acute peptic ulcer, site unspecified, with hemorrhage",DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K271,"Acute peptic ulcer, site unspecified, with perforation",DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K271,"Acute peptic ulcer, site unspecified, with perforation",DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K272,"Acute peptic ulcer, site unsp, w both hemorrhage and perf",DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K274,"Chronic or unsp peptic ulcer, site unsp, with hemorrhage",DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K275,"Chronic or unspecified peptic ulcer, site unspecified, with perforation",DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K275,"Chronic or unspecified peptic ulcer, site unspecified, with perforation",DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K276,"Chr or unsp peptic ulcer, site unsp, w both hemor and perf",DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K280,Acute gastrojejunal ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K281,Acute gastrojejunal ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K281,Acute gastrojejunal ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K282,Acute gastrojejunal ulcer w both hemorrhage and perforation,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K284,Chronic or unspecified gastrojejunal ulcer with hemorrhage,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K285,Chronic or unspecified gastrojejunal ulcer with perforation,DIG005,Gastroduodenal ulcer,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K285,Chronic or unspecified gastrojejunal ulcer with perforation,DIG006,Gastrointestinal and biliary perforation,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K286,Chronic or unsp gastrojejunal ulcer w both hemor and perf,DIG021,Gastrointestinal hemorrhage,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K2900,Acute gastritis without bleeding,DIG007,Gastritis and duodenitis,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K2901,Acute gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2901,Acute gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2921,Alcoholic gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2921,Alcoholic gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2931,Chronic superficial gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2931,Chronic superficial gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2941,Chronic atrophic gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2941,Chronic atrophic gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2951,Unspecified chronic gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2951,Unspecified chronic gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2961,Other gastritis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2961,Other gastritis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2971,"Gastritis, unspecified, with bleeding",DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2971,"Gastritis, unspecified, with bleeding",DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2981,Duodenitis with bleeding,DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2981,Duodenitis with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2991,"Gastroduodenitis, unspecified, with bleeding",DIG007,Gastritis and duodenitis,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K2991,"Gastroduodenitis, unspecified, with bleeding",DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K315,Obstruction of duodenum,DIG012,Intestinal obstruction and ileus,Y,0 Not Applicable,Intestinal obstruction,NULL
K31811,Angiodysplasia of stomach and duodenum with bleeding,DIG008,Other specified and unspecified disorders of stomach and duodenum,Y,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K31811,Angiodysplasia of stomach and duodenum with bleeding,DIG021,Gastrointestinal hemorrhage,N,05 Condition AA with condition BB,Intestinal ischemia or hemorrhage,NULL
K3182,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,DIG008,Other specified and unspecified disorders of stomach and duodenum,Y,0 Not Applicable,Intestinal ischemia or hemorrhage,NULL
K352,Acute appendicitis with generalized peritonitis,DIG009,Appendicitis and other appendiceal conditions,Y,05 Condition AA with condition BB,Acute appendicitis,NULL
K352,Acute appendicitis with generalized peritonitis,DIG016,Peritonitis and intra-abdominal abscess,N,05 Condition AA with condition BB,Acute appendicitis,NULL
K3520,"Acute appendicitis with generalized peritonitis, without abscess",DIG009,Appendicitis and other appendiceal conditions,Y,05 Condition AA with condition BB,Acute appendicitis,NULL
K3520,"Acute appendicitis with generalized peritonitis, without abscess",DIG016,Peritonitis and intra-abdominal abscess,N,05 Condition AA with condition BB,Acute appendicitis,NULL
